None,L1,L2,Static L0
2.1004085540771484,2.157135486602783,2.1063199043273926,2.028825044631958
1.9782459735870361,2.3092539310455322,2.0059871673583984,2.45572829246521
1.7267111539840698,2.204010486602783,1.700559139251709,2.3709986209869385
1.5340944528579712,2.0724945068359375,1.4320536851882935,2.1604013442993164
1.424677848815918,1.9259893894195557,0.9622688293457031,2.011065721511841
1.2341901063919067,1.732157588005066,0.6889830827713013,1.7846275568008423
1.0704967975616455,1.5630592107772827,0.5437192320823669,1.7211064100265503
1.159691572189331,1.460206389427185,0.4487674832344055,1.4907240867614746
1.1017379760742188,1.4203729629516602,0.3344186842441559,1.2184573411941528
1.1687867641448975,1.142358660697937,0.2737385332584381,1.1356626749038696
