None,L1,L2,Static L0
2.0314948558807373,20.507808685302734,2.304517984390259,2.3066115379333496
1.6419715881347656,21.622806549072266,2.3041746616363525,2.3042855262756348
1.4593498706817627,20.59853744506836,2.304145574569702,2.30409574508667
1.4915404319763184,21.350757598876953,2.3041412830352783,2.304079532623291
1.7162948846817017,21.063859939575195,2.3041393756866455,2.3040781021118164
1.8230884075164795,20.921348571777344,2.304137945175171,2.304077625274658
1.5405075550079346,20.203235626220703,2.304136037826538,2.3040771484375
1.3653950691223145,21.002620697021484,2.3041343688964844,2.304076671600342
1.0636658668518066,20.741662979125977,2.3041329383850098,2.3040764331817627
0.7933225631713867,21.351581573486328,2.304131031036377,2.3040759563446045
